> break
29.291 -1.620
29.288 -1.630
29.282 -1.640
29.278 -1.648
29.276 -1.658
29.271 -1.667
29.270 -1.671
29.268 -1.673
29.266 -1.676
29.265 -1.677
29.265 -1.679
29.265 -1.682
29.264 -1.683
29.264 -1.684
29.264 -1.685
29.264 -1.687
29.265 -1.688
29.265 -1.691
29.264 -1.695
29.264 -1.697
29.264 -1.698
29.264 -1.699
29.264 -1.700
29.263 -1.701
29.263 -1.702
29.263 -1.703
29.263 -1.704
29.263 -1.708
29.263 -1.712
29.262 -1.719
29.262 -1.723
29.262 -1.732
> break
29.344 -1.517
29.340 -1.525
29.343 -1.533
29.341 -1.541
29.336 -1.550
29.335 -1.561
29.330 -1.571
29.326 -1.581
29.325 -1.589
> break
29.479 -1.586
29.469 -1.593
29.461 -1.596
29.456 -1.601
29.441 -1.615
29.428 -1.623
29.410 -1.635
29.394 -1.643
29.382 -1.649
29.371 -1.658
29.361 -1.672
29.346 -1.690
29.336 -1.701
29.325 -1.714
29.308 -1.725
29.293 -1.732
29.278 -1.737
29.256 -1.742
29.241 -1.747
29.229 -1.751
29.215 -1.755
> break
29.154 -1.959
29.170 -1.949
29.179 -1.944
29.183 -1.939
29.184 -1.936
29.184 -1.930
29.184 -1.920
29.182 -1.910
29.183 -1.904
29.181 -1.897
29.179 -1.887
29.177 -1.879
29.177 -1.870
29.175 -1.852
29.174 -1.832
29.172 -1.819
29.172 -1.818
29.173 -1.817
29.174 -1.815
29.177 -1.811
29.178 -1.809
29.180 -1.804
29.181 -1.797
29.183 -1.789
29.183 -1.777
29.185 -1.762
>  break
29.319 -1.786
29.317 -1.814
29.317 -1.834
29.315 -1.847
29.308 -1.864
29.309 -1.874
29.306 -1.884
29.305 -1.895
29.302 -1.905
29.302 -1.913
29.300 -1.924
29.298 -1.940
29.292 -1.957
> break
29.369 -1.828
29.369 -1.848
29.372 -1.865
29.372 -1.881
29.371 -1.895
29.370 -1.908
29.370 -1.921
29.370 -1.934
29.368 -1.943
29.361 -1.954
29.360 -1.966
29.359 -1.978
> break
29.070 -1.512
29.069 -1.513
29.052 -1.559
29.036 -1.609
29.023 -1.629
29.027 -1.664
29.018 -1.679
29.017 -1.718
29.005 -1.743
28.989 -1.770
28.970 -1.803
28.967 -1.829
28.956 -1.856
28.951 -1.881
28.939 -1.900
28.928 -1.939
28.926 -1.954
28.906 -1.986
28.900 -2.016
28.891 -2.031
28.893 -2.056
28.891 -2.071
28.890 -2.079
> break
29.111 -1.674
29.105 -1.685
29.089 -1.699
29.071 -1.730
29.061 -1.747
29.048 -1.760
29.039 -1.767
29.036 -1.781
29.033 -1.786
29.037 -1.807
29.039 -1.824
29.026 -1.836
29.015 -1.845
29.005 -1.849
29.000 -1.854
29.000 -1.867
> break
29.065 -1.834
29.037 -1.853
29.034 -1.873
29.023 -1.890
29.012 -1.910
28.993 -1.944
28.989 -1.952
28.964 -1.975
28.961 -1.986
28.959 -1.993
> break
29.122 -1.965
29.124 -1.960
29.126 -1.946
29.128 -1.938
29.129 -1.925
29.129 -1.917
29.128 -1.910
29.127 -1.902
29.128 -1.896
29.130 -1.891
29.130 -1.885
> break
28.987 -2.230
28.978 -2.247
28.977 -2.274
28.967 -2.288
28.966 -2.327
28.959 -2.337
28.955 -2.353
28.946 -2.365
28.947 -2.439
28.951 -2.448
> break
29.263 -1.845
29.261 -1.857
29.260 -1.870
29.258 -1.887
29.270 -1.904
29.273 -1.911
29.273 -1.915
29.268 -1.922
29.264 -1.928
29.262 -1.936
29.262 -1.946
29.262 -1.956
29.265 -1.968
29.271 -1.987
29.273 -2.002
29.270 -2.031
29.269 -2.053
29.269 -2.073
29.271 -2.097
29.275 -2.116
29.276 -2.125
29.281 -2.135
> break
29.253 -1.935
29.249 -1.950
29.241 -1.974
29.240 -1.979
29.241 -1.998
29.243 -2.009
29.239 -2.019
29.236 -2.032
29.235 -2.039
29.233 -2.053
29.234 -2.056
29.235 -2.076
29.235 -2.081
29.236 -2.115
> break
28.987 -2.230
28.978 -2.247
28.977 -2.274
28.967 -2.288
28.966 -2.327
28.959 -2.337
28.955 -2.353
28.946 -2.365
28.947 -2.439
28.951 -2.448
> break
29.122 -1.965
29.124 -1.960
29.126 -1.946
29.128 -1.938
29.129 -1.925
29.129 -1.917
29.128 -1.910
29.127 -1.902
29.128 -1.896
29.130 -1.891
29.130 -1.885
> break
29.394 -1.227
29.394 -1.253
29.391 -1.271
29.389 -1.287
29.386 -1.309
29.383 -1.323
29.380 -1.332
29.376 -1.344
29.371 -1.358
29.370 -1.380
29.368 -1.399
29.368 -1.410
29.365 -1.420
29.361 -1.431
29.357 -1.439
29.351 -1.444
29.345 -1.451
29.343 -1.462
29.342 -1.476
> break
29.1960755405861 -1.93691840816763
29.1973188764094 -1.92776814164133
29.1982796359092 -1.92387079094875
29.1998620633207 -1.91302594221304
29.2008793380852 -1.9068692006768
29.2012749449381 -1.90477929257557
29.2043832844964 -1.90020407950772
29.2073220782605 -1.89534643261438
29.2098370075395 -1.89105361703819
29.2111086009952 -1.88721266778357
29.2117585265392 -1.88489679722021
29.2136800455388 -1.87831631894141
29.2163362629795 -1.87001301914647
29.2174100530087 -1.865324744074
29.2181447514498 -1.85679544053829
29.2188229346261 -1.85199415883945
29.21972717886131 -1.84498991280259
29.2209139994199 -1.83691240127977
29.2215356673315 -1.83228052503945
29.2231746100077 -1.81697265388234
29.2240788542428 -1.80691796673887

