longitude,latitude,ObsEasting,ObsNorthing,ObsUpwarding,CalcEasting,CalcNorthing,CalcUpwarding
(deg),(deg),(m),(m),(m),(m),(m),(m)
     136.851128,      34.465387,       0.027400,       0.004500,      -0.016600,       0.087966,       0.019083,      -0.016243
     130.299482,      31.264591,      -0.025700,       0.007400,       0.054000,       0.020044,       0.003449,      -0.002801
     143.224179,      44.433686,       0.021700,      -0.000100,      -0.004100,       0.014903,      -0.013560,      -0.029642
     141.290333,      42.971378,       0.014200,      -0.035400,       0.002000,       0.079236,      -0.091561,      -0.027379
     141.293687,      40.291148,       0.473600,      -0.506600,       0.001900,       1.113269,      -0.765103,      -0.149282
     141.756312,      44.397951,      -0.019200,      -0.015500,       0.002500,       0.030977,      -0.035277,      -0.022250
     136.198364,      34.060657,       0.043100,       0.029900,       0.021500,       0.067573,       0.014394,      -0.012950
     140.366086,      38.331027,       1.764500,      -0.381400,      -0.040500,       2.017055,      -0.504896,      -0.196077
     131.087534,      31.258533,       0.022700,       0.012500,       0.031500,       0.020384,       0.003686,      -0.003627
     136.920558,      36.401879,       0.135000,       0.021900,       0.016700,       0.233449,       0.013167,       0.002877
     138.552713,      36.507995,       0.257500,       0.053600,       0.032800,       0.447231,       0.022430,      -0.025212
     140.559778,      39.327002,       1.173100,      -0.631100,       0.028400,       1.623476,      -0.666932,      -0.068788
     140.883342,      42.857889,       0.025700,      -0.058700,      -0.015400,       0.097412,      -0.107354,      -0.021238
     141.461945,      40.048600,       0.684900,      -0.655600,      -0.020900,       1.583026,      -0.998956,      -0.280792
     144.675842,      43.915690,       0.001100,       0.005000,      -0.036200,       0.002982,       0.002110,      -0.036733
     127.768922,      26.144813,       0.005600,       0.014300,      -0.003000,       0.006014,       0.001013,      -0.002818
     135.500974,      34.837998,       0.044900,       0.035400,      -0.053400,       0.091380,       0.014284,      -0.005097
     136.863181,      35.866941,       0.088300,       0.025500,      -0.035900,       0.185452,       0.020633,      -0.004093
     136.085901,      33.875135,       0.027900,       0.020500,       0.007800,       0.061030,       0.013159,      -0.012879
     134.767301,      34.984685,       0.053400,      -0.002300,       0.021800,       0.086969,       0.011242,      -0.001542
     140.954184,      38.317487,       3.011900,      -0.765400,      -0.282000,       3.111121,      -0.903943,      -0.651411
     136.919268,      37.850496,       0.215400,      -0.017700,       0.019300,       0.325996,      -0.034836,       0.024477
     139.330387,      36.421628,       0.342500,       0.082700,      -0.008600,       0.647488,       0.020404,      -0.094182
     139.907717,      39.206062,       0.882700,      -0.355300,       0.065500,       1.162187,      -0.429171,       0.009537
     140.603519,      42.802718,       0.038800,      -0.057000,      -0.032300,       0.108414,      -0.114968,      -0.016718
     135.599204,      33.505618,       0.026100,       0.010600,      -0.068300,       0.050092,       0.010676,      -0.011258
     131.562788,      34.283736,       0.028200,       0.011500,       0.007500,       0.047064,       0.004893,       0.000801
     133.805025,      33.654153,       0.020200,       0.022900,      -0.002700,       0.048644,       0.008310,      -0.004415
     141.225065,      39.980574,       0.724100,      -0.666500,       0.028200,       1.519515,      -0.895042,      -0.189031
     144.449008,      43.507860,       0.005000,       0.007300,      -0.004900,       0.004554,       0.002263,      -0.043068
     136.975302,      35.757783,       0.091400,       0.030500,      -0.000400,       0.181498,       0.022651,      -0.006428
     135.325996,      34.976789,       0.049100,       0.007600,      -0.011800,       0.094280,       0.013503,      -0.003487
     136.010900,      33.741273,       0.024400,       0.026300,      -0.011300,       0.056815,       0.012336,      -0.012832
     142.169736,      45.335826,      -0.004400,      -0.007800,      -0.022300,       0.018511,      -0.019927,      -0.019002
     135.851408,      34.392300,       0.028600,       0.010300,       0.003000,       0.077927,       0.014811,      -0.009385
     140.908082,      37.800671,       2.651100,      -0.359100,      -0.320900,       2.952716,      -0.403035,      -0.738149
     137.270049,      37.446027,       0.217300,      -0.004400,       0.004200,       0.349979,      -0.021218,       0.018540
     139.075685,      35.986891,       0.197400,       0.057900,      -0.004900,       0.427798,       0.056246,      -0.067785
     140.161981,      39.164212,       1.043300,      -0.479700,       0.051300,       1.366296,      -0.508966,      -0.016488
     141.950542,      39.869370,       0.890600,      -0.889600,      -0.102400,       2.417468,      -1.553244,      -0.762242
     123.792036,      24.426271,      -0.006000,      -0.003700,      -0.006100,       0.004772,       0.000793,      -0.001677
     131.564166,      33.671193,       0.011600,       0.017100,      -0.018600,       0.040426,       0.005210,      -0.000639
     144.719147,      42.982571,       0.019500,       0.013200,      -0.017900,      -0.000356,       0.008770,      -0.051140
     140.233203,      42.786434,       0.053700,      -0.055900,      -0.006800,       0.117611,      -0.118586,      -0.010942
     134.046670,      35.456755,       0.062600,       0.008300,      -0.060600,       0.089903,       0.007578,       0.002604
     134.106906,      33.603787,       0.023400,      -0.009900,      -0.031700,       0.048788,       0.008722,      -0.005362
     131.953287,      34.259081,       0.030200,       0.002700,      -0.032300,       0.048863,       0.005445,       0.000396
     137.424773,      35.657189,       0.100100,       0.031600,      -0.015600,       0.192939,       0.028394,      -0.012729
     142.482479,      43.589658,       0.021200,      -0.015400,      -0.001300,       0.031704,      -0.035532,      -0.035478
     136.197946,      35.557331,       0.068200,       0.029200,      -0.023000,       0.139287,       0.017171,      -0.003025
     135.176417,      34.944792,       0.053500,       0.016200,      -0.017700,       0.091064,       0.012883,      -0.003115
     141.038213,      45.275968,       0.016300,      -0.010800,       0.008400,       0.027553,      -0.030758,      -0.014220
     135.221492,      34.157685,       0.036900,       0.019400,      -0.013200,       0.066254,       0.012173,      -0.007338
     139.791506,      37.643696,       0.951300,      -0.034600,      -0.010200,       1.283541,      -0.136951,      -0.099833
     138.369882,      38.023687,       0.405400,      -0.039100,       0.026900,       0.601965,      -0.085620,       0.024661
     138.159038,      34.634540,       0.040600,       0.031800,       0.018700,       0.104809,       0.026997,      -0.032330
     139.795987,      35.895969,       0.206300,       0.081200,      -0.028900,       0.605451,       0.090674,      -0.187099
     136.388942,      36.394456,       0.112500,       0.005300,      -0.015400,       0.199325,       0.009893,       0.005389
     141.167097,      45.137712,       0.024100,      -0.031300,       0.002700,       0.027986,      -0.031361,      -0.015298
     139.358585,      34.737613,       0.063200,      -0.002600,      -0.010700,       0.103402,       0.029632,      -0.060404
     140.629588,      39.051902,       1.530800,      -0.727700,      -0.062000,       1.925637,      -0.712064,      -0.123300
     141.164861,      39.851246,       0.878700,      -0.735900,       0.001300,       1.668128,      -0.912588,      -0.191685
     131.168932,      33.496233,       0.037300,       0.032000,       0.010300,       0.037334,       0.004812,      -0.000612
     143.315695,      42.125587,       0.023100,      -0.004400,      -0.021700,       0.034789,      -0.023507,      -0.081657
     133.439072,      35.345535,       0.042200,       0.011200,      -0.006300,       0.078902,       0.006350,       0.002751
     134.280802,      33.527760,       0.018400,      -0.009300,       0.010700,       0.047919,       0.008856,      -0.006083
     141.863983,      42.729441,       0.069800,       0.005700,      -0.014700,       0.072820,      -0.087921,      -0.040241
     131.346081,      34.189490,       0.024200,       0.011800,      -0.014100,       0.044940,       0.004701,       0.000739
     136.488768,      35.636153,       0.073800,       0.042700,       0.051300,       0.153294,       0.018985,      -0.004001
     133.137888,      35.563534,       0.038700,       0.010200,      -0.004700,       0.079308,       0.004924,       0.003953
     129.940088,      33.196030,      -0.003000,       0.015300,       0.003000,       0.031372,       0.003790,      -0.000172
     136.053666,      35.466286,       0.060400,       0.031500,      -0.039300,       0.130265,       0.016549,      -0.003091
     134.545236,      34.897265,       0.054100,       0.019000,       0.000100,       0.081655,       0.010570,      -0.001408
     142.537089,      45.002398,       0.023300,       0.013100,      -0.012700,       0.017773,      -0.018603,      -0.022395
     135.764413,      33.483360,       0.022200,       0.014400,      -0.004900,       0.049657,       0.010771,      -0.012138
     130.708540,      31.591841,       0.030800,       0.016000,      -0.017600,       0.022121,       0.003798,      -0.002903
     138.906893,      35.047243,       0.050600,       0.025600,      -0.033600,       0.157898,       0.043456,      -0.050389
     141.510373,      43.854011,       0.020100,      -0.036100,      -0.001700,       0.043864,      -0.050827,      -0.023815
     138.706939,      37.535832,       0.458300,       0.008100,       0.015100,       0.666275,      -0.054358,       0.002166
     140.902515,      37.090714,       1.828400,      -0.271100,      -0.499400,       1.781582,      -0.054451,      -0.413423
     136.633947,      36.165289,       0.119600,       0.022600,      -0.011500,       0.197027,       0.015101,       0.001323
     139.270932,      34.519633,       0.027400,       0.011100,      -0.014800,       0.080656,       0.021940,      -0.055137
     140.048093,      35.657206,       0.087900,       0.019600,      -0.021600,       0.441843,       0.109477,      -0.161045
     142.964462,      44.582042,       0.008300,      -0.005000,      -0.014100,       0.016532,      -0.016198,      -0.027315
     141.803851,      39.849176,       0.948400,      -0.891400,      -0.120500,       2.389194,      -1.447367,      -0.681173
     139.547661,      39.185562,       0.681800,      -0.263300,       0.046600,       0.965093,      -0.338725,       0.028051
     131.347278,      33.254042,       0.022100,       0.007900,       0.013100,       0.035620,       0.004987,      -0.001256
     141.447587,      41.404706,       0.133000,      -0.127100,      -0.035500,       0.300605,      -0.309158,      -0.060342
